Full Journal Title	Journal Impact Factor
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	13.858
Physics of Life Reviews	13.840
Nature Reviews Gastroenterology & Hepatology	13.678
Applied Physics Reviews	13.667
Annual Review of Medicine	13.609
FUNGAL DIVERSITY	13.465
Annual Review of Materials Research	13.432
SURFACE SCIENCE REPORTS	13.333
COORDINATION CHEMISTRY REVIEWS	13.324
TRENDS IN IMMUNOLOGY	13.287
HEPATOLOGY	13.246
PROGRESS IN NEUROBIOLOGY	13.217
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	13.204
MOLECULAR PSYCHIATRY	13.204
BLOOD	13.164
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	13.081
Annual Review of Pharmacology and Toxicology	12.877
Annual Review of Entomology	12.867
ANNALS OF THE RHEUMATIC DISEASES	12.811
TRENDS IN PHARMACOLOGICAL SCIENCES	12.797
Physical Review X	12.789
JOURNAL OF CLINICAL INVESTIGATION	12.784
NANO LETTERS	12.712
NATURE STRUCTURAL & MOLECULAR BIOLOGY	12.595
JNCI-Journal of the National Cancer Institute	12.589
JOURNAL OF HEPATOLOGY	12.486
Living Reviews in Solar Physics	12.455
Nano Energy	12.343
REVIEWS OF GEOPHYSICS	12.340
Annual Review of Marine Science	12.333
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS	12.317
ACTA NEUROPATHOLOGICA	12.213
FEMS MICROBIOLOGY REVIEWS	12.198
Nature Reviews Rheumatology	12.188
Nature Reviews Nephrology	12.146
Annual Review of Clinical Psychology	12.136
Annual Review of Clinical Psychology	12.136
ADVANCED FUNCTIONAL MATERIALS	12.124
Nature Communications	12.124
INTENSIVE CARE MEDICINE	12.015
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	11.994
JOURNAL OF EXPERIMENTAL MEDICINE	11.991
GENOME RESEARCH	11.922
TRENDS IN PLANT SCIENCE	11.911
GENOME BIOLOGY	11.908
PLOS MEDICINE	11.862
DIABETES CARE	11.857
ANNALS OF ONCOLOGY	11.855
ADVANCED DRUG DELIVERY REVIEWS	11.764
HUMAN REPRODUCTION UPDATE	11.748
LEUKEMIA	11.702
BIOLOGICAL REVIEWS	11.615
Lancet Psychiatry	11.588
Lancet Psychiatry	11.588
PROGRESS IN RETINAL AND EYE RESEARCH	11.587
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	11.483
BIOLOGICAL PSYCHIATRY	11.412
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS	11.229
PHARMACOLOGY & THERAPEUTICS	11.127
TRENDS IN BIOTECHNOLOGY	11.126
TRENDS IN NEUROSCIENCES	11.124
Academy of Management Annals	11.115
Annual Review of Physiology	11.115
TRENDS IN MICROBIOLOGY	11.020
NATURAL PRODUCT REPORTS	11.014
PROGRESS IN QUANTUM ELECTRONICS	11.000
Annual Review of Phytopathology	10.981
DRUG RESISTANCE UPDATES	10.906
TRENDS IN ENDOCRINOLOGY AND METABOLISM	10.893
TRENDS IN GENETICS	10.844
TRENDS IN MOLECULAR MEDICINE	10.732
IEEE Industrial Electronics Magazine	10.710
Materials Horizons	10.706
Annual Review of Biophysics	10.676
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION	10.629
ACS Catalysis	10.614
BIOTECHNOLOGY ADVANCES	10.597
PROGRESS IN LIPID RESEARCH	10.583
EUROPEAN RESPIRATORY JOURNAL	10.569
Annual Review of Biomedical Engineering	10.514
IEEE COMMUNICATIONS MAGAZINE	10.435
JOURNAL OF PINEAL RESEARCH	10.391
Nature Plants	10.300
BRAIN	10.292
JAMA Pediatrics	10.251
Annual Review of Public Health	10.228
Annual Review of Public Health	10.228
JACC-Cardiovascular Imaging	10.189
Annual Review of Ecology Evolution and Systematics	10.182
NUCLEIC ACIDS RESEARCH	10.162
Nature Protocols	10.032
JAMA Neurology	10.029
CURRENT OPINION IN CELL BIOLOGY	9.937
ANNALS OF NEUROLOGY	9.890
Lancet HIV	9.842
PLOS BIOLOGY	9.797
EMBO JOURNAL	9.792
LAND DEGRADATION & DEVELOPMENT	9.787
Annual Review of Earth and Planetary Sciences	9.780
ENVIRONMENTAL HEALTH PERSPECTIVES	9.776
Molecular Systems Biology	9.750
Journal of Cachexia Sarcopenia and Muscle	9.697
ISME Journal	9.664
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	9.661
IEEE SIGNAL PROCESSING MAGAZINE	9.654
CLINICAL CANCER RESEARCH	9.619
IMMUNOLOGICAL REVIEWS	9.614
SEMINARS IN IMMUNOLOGY	9.611
AMERICAN JOURNAL OF GASTROENTEROLOGY	9.566
Alzheimers & Dementia	9.478
CHEMISTRY OF MATERIALS	9.466
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER	9.452
ECOLOGY LETTERS	9.449
APPLIED CATALYSIS B-ENVIRONMENTAL	9.446
Journal of Statistical Software	9.436
FRONTIERS IN NEUROENDOCRINOLOGY	9.425
Annual Review of Microbiology	9.415
GENES & DEVELOPMENT	9.413
ACADEMY OF MANAGEMENT REVIEW	9.408
MASS SPECTROMETRY REVIEWS	9.373
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW	9.361
Journal of Physical Chemistry Letters	9.353
Bone Research	9.326
CURRENT OPINION IN BIOTECHNOLOGY	9.294
EMBO Molecular Medicine	9.249
PROCEEDINGS OF THE IEEE	9.237
DEVELOPMENTAL CELL	9.174
NPG Asia Materials	9.157
SEMINARS IN CANCER BIOLOGY	9.141
GREEN CHEMISTRY	9.125
CANCER RESEARCH	9.122
npj Quantum Information	9.111
Annual Review of Nutrition	9.054
Advanced Science	9.034
AMERICAN JOURNAL OF HUMAN GENETICS	9.025
FISH AND FISHERIES	9.013
ANNALS OF SURGERY	8.980
IEEE WIRELESS COMMUNICATIONS	8.972
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY	8.966
PSYCHOTHERAPY AND PSYCHOSOMATICS	8.964
PSYCHOTHERAPY AND PSYCHOSOMATICS	8.964
AUTOIMMUNITY REVIEWS	8.961
SLEEP MEDICINE REVIEWS	8.958
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES	8.955
SYSTEMATIC BIOLOGY	8.917
CLINICAL PSYCHOLOGY REVIEW	8.897
Journal of Materials Chemistry A	8.867
CURRENT BIOLOGY	8.851
National Science Review	8.843
JACC-Cardiovascular Interventions	8.841
Molecular Plant	8.827
Cold Spring Harbor Perspectives in Biology	8.769
MEDICINAL RESEARCH REVIEWS	8.763
ECOLOGICAL MONOGRAPHS	8.759
Annual Review of Genetics	8.745
Theranostics	8.712
PLANT CELL	8.688
DIABETES	8.684
Chemical Science	8.668
Soft Robotics	8.649
Small	8.643
PROGRESS IN SURFACE SCIENCE	8.619
INTERNATIONAL MATERIALS REVIEWS	8.605
Autophagy	8.593
CANCER TREATMENT REVIEWS	8.589
Particle and Fibre Toxicology	8.577
EMBO REPORTS	8.568
GLOBAL CHANGE BIOLOGY	8.502
Microbiome	8.496
JACC-Heart Failure	8.493
PHYSICAL REVIEW LETTERS	8.462
TRAC-TRENDS IN ANALYTICAL CHEMISTRY	8.442
Laser & Photonics Reviews	8.434
Cell Systems	8.406
BIOMATERIALS	8.402
KIDNEY INTERNATIONAL	8.395
CURRENT OPINION IN IMMUNOLOGY	8.384
CELL DEATH AND DIFFERENTIATION	8.339
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	8.329
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS	8.299
Cancer Immunology Research	8.284
Cell Reports	8.282
THORAX	8.272
GENETICS IN MEDICINE	8.229
ASTRONOMY AND ASTROPHYSICS REVIEW	8.222
EMERGING INFECTIOUS DISEASES	8.222
INTERNATIONAL JOURNAL OF COMPUTER VISION	8.222
CLINICAL INFECTIOUS DISEASES	8.216
OPHTHALMOLOGY	8.204
ALDRICHIMICA ACTA	8.182
PROGRESS IN CARDIOVASCULAR DISEASES	8.177
METABOLIC ENGINEERING	8.142
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS	8.085
RENEWABLE & SUSTAINABLE ENERGY REVIEWS	8.050
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	8.039
CLINICAL CHEMISTRY	8.008
JAMA Surgery	7.956
JOURNAL OF CELL BIOLOGY	7.955
Applied Mechanics Reviews	7.921
BMC Medicine	7.901
CURRENT OPINION IN CHEMICAL BIOLOGY	7.889
Obesity Reviews	7.883
Liver Cancer	7.854
JOURNAL OF CONTROLLED RELEASE	7.786
NEURO-ONCOLOGY	7.786
BIOSENSORS & BIOELECTRONICS	7.780
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY	7.738
Nature Reviews Urology	7.735
JOURNAL OF MANAGEMENT	7.733
Optica	7.727
eLife	7.725
OncoImmunology	7.719
HAEMATOLOGICA	7.702
IEEE TRANSACTIONS ON FUZZY SYSTEMS	7.671
JOURNAL OF AUTOIMMUNITY	7.641
PSYCHOLOGICAL REVIEW	7.638
PSYCHOLOGICAL REVIEW	7.638
AMERICAN JOURNAL OF KIDNEY DISEASES	7.623
EXERCISE IMMUNOLOGY REVIEW	7.600
JOURNAL OF INTERNAL MEDICINE	7.598
IEEE Internet of Things Journal	7.596
NEUROLOGY	7.592
Annual Review of Genomics and Human Genetics	7.579
SCHIZOPHRENIA BULLETIN	7.575
SCHIZOPHRENIA BULLETIN	7.575
ONCOGENE	7.519
PERSOONIA	7.511
ACS Applied Materials & Interfaces	7.504
SPACE SCIENCE REVIEWS	7.497
ACS Central Science	7.481
Mucosal Immunology	7.478
AGEING RESEARCH REVIEWS	7.452
PLANT BIOTECHNOLOGY JOURNAL	7.443
Annual Review of Analytical Chemistry	7.435
ACADEMY OF MANAGEMENT JOURNAL	7.417
MATRIX BIOLOGY	7.400
Clinical Gastroenterology and Hepatology	7.398
NEUROSCIENTIST	7.391
IEEE Transactions on Cybernetics	7.384
Nanoscale	7.367
ALLERGY	7.361
Perspectives on Psychological Science	7.359
CURRENT OPINION IN PLANT BIOLOGY	7.357
Nano Research	7.354
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY	7.349
Stem Cell Reports	7.338
Molecular Ecology Resources	7.332
NEW PHYTOLOGIST	7.330
Annual Review of Food Science and Technology	7.310
BIOINFORMATICS	7.307
RADIOLOGY	7.296
ALIMENTARY PHARMACOLOGY & THERAPEUTICS	7.286
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	7.281
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING	7.277
MIS QUARTERLY	7.268
MIS QUARTERLY	7.268
CLINICAL PHARMACOLOGY & THERAPEUTICS	7.266
Health Psychology Review	7.241
IEEE NETWORK	7.230
ChemSusChem	7.226
EUROPEAN JOURNAL OF EPIDEMIOLOGY	7.226
ADVANCES IN COLLOID AND INTERFACE SCIENCE	7.223
Eurosurveillance	7.202
Circulation-Cardiovascular Interventions	7.198
APPLIED ENERGY	7.182
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS	7.168
EPIDEMIOLOGIC REVIEWS	7.160
IEEE TRANSACTIONS ON POWER ELECTRONICS	7.151
Lancet Haematology	7.123
JOURNAL OF HEART AND LUNG TRANSPLANTATION	7.114
ENVIRONMENT INTERNATIONAL	7.088
MOVEMENT DISORDERS	7.072
Genome Medicine	7.071
Clinical Epidemiology	7.056
EARTH-SCIENCE REVIEWS	7.051
CRITICAL CARE MEDICINE	7.050
Conservation Letters	7.020
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY	7.002
Oceanography and Marine Biology	7.000
EUROPEAN JOURNAL OF HEART FAILURE	6.968
GONDWANA RESEARCH	6.959
Annual Review of Organizational Psychology and Organizational Behavior	6.956
mBio	6.956
JOURNAL OF INFORMATION TECHNOLOGY	6.953
JOURNAL OF INFORMATION TECHNOLOGY	6.953
Comprehensive Physiology	6.949
WATER RESEARCH	6.942
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE	6.938
2D Materials	6.937
CURRENT OPINION IN STRUCTURAL BIOLOGY	6.932
AMERICAN JOURNAL OF CLINICAL NUTRITION	6.926
Arthritis & Rheumatology	6.918
JOURNAL OF PATHOLOGY	6.894
Advanced Optical Materials	6.875
GigaScience	6.871
HYPERTENSION	6.857
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY	6.852
JOURNAL OF SERVICE RESEARCH	6.847
JOURNAL OF CATALYSIS	6.844
SPORTS MEDICINE	6.832
CRITICAL REVIEWS IN PLANT SCIENCES	6.825
Circulation-Cardiovascular Imaging	6.803
Advances in Catalysis	6.800
Molecular Metabolism	6.799
CYTOKINE & GROWTH FACTOR REVIEWS	6.794
ACTA PSYCHIATRICA SCANDINAVICA	6.790
ACTA PSYCHIATRICA SCANDINAVICA	6.790
CANADIAN MEDICAL ASSOCIATION JOURNAL	6.784
Molecular Neurodegeneration	6.780
BMC BIOLOGY	6.779
IEEE Transactions on Industrial Informatics	6.764
ACS Photonics	6.756
Geochemical Perspectives	6.750
ACM COMPUTING SURVEYS	6.748
CHEMISTRY & BIOLOGY	6.743
PROGRESS IN PHOTOVOLTAICS	6.726
DIABETES OBESITY & METABOLISM	6.715
AGING CELL	6.714
Earth System Science Data	6.696
MOLECULAR THERAPY	6.688
MAYO CLINIC PROCEEDINGS	6.686
AMERICAN PSYCHOLOGIST	6.681
CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS	6.667
QUARTERLY JOURNAL OF ECONOMICS	6.662
JOURNAL OF NUCLEAR MEDICINE	6.646
IEEE Transactions on Smart Grid	6.645
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY	6.639
CURRENT OPINION IN MICROBIOLOGY	6.635
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY	6.614
PLoS Pathogens	6.608
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	6.607
Journal of Thoracic Oncology	6.595
ORGANIC LETTERS	6.579
CEREBRAL CORTEX	6.559
BRITISH JOURNAL OF SPORTS MEDICINE	6.557
CRITICAL REVIEWS IN BIOTECHNOLOGY	6.542
MOLECULAR & CELLULAR PROTEOMICS	6.540
INTERNATIONAL JOURNAL OF CANCER	6.513
GASTROINTESTINAL ENDOSCOPY	6.501
Science Signaling	6.494
Polymer Reviews	6.459
PLANT PHYSIOLOGY	6.456
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES	6.455
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	6.442
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	6.442
AMERICAN JOURNAL OF BIOETHICS	6.434
AMERICAN JOURNAL OF BIOETHICS	6.434
Frontiers in Immunology	6.429
Nanotoxicology	6.428
NEUROPSYCHOPHARMACOLOGY	6.403
DRUG DELIVERY	6.402
JOURNAL OF POWER SOURCES	6.395
Molecular Therapy-Nucleic Acids	6.392
Nature Reviews Disease Primers	6.389
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	6.387
CANCER LETTERS	6.375
Circulation-Heart Failure	6.372
DRUG DISCOVERY TODAY	6.369
NEUROPSYCHOLOGY REVIEW	6.352
NEUROPSYCHOLOGY REVIEW	6.352
Journal of Hematology & Oncology	6.350
BRITISH JOURNAL OF PSYCHIATRY	6.347
BRITISH JOURNAL OF PSYCHIATRY	6.347
BREAST CANCER RESEARCH	6.345
IEEE Computational Intelligence Magazine	6.343
BLOOD REVIEWS	6.342
ANTIOXIDANTS & REDOX SIGNALING	6.337
CARBON	6.337
Redox Biology	6.337
International Journal of Neural Systems	6.333
TRENDS IN PARASITOLOGY	6.333
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS	6.327
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS	6.327
ANALYTICAL CHEMISTRY	6.320
Acta Biomaterialia	6.319
CHEMICAL COMMUNICATIONS	6.319
Journal of the International AIDS Society	6.296
Therapeutic Advances in Medical Oncology	6.294
JOURNAL OF INVESTIGATIVE DERMATOLOGY	6.287
JOURNAL OF BONE AND MINERAL RESEARCH	6.284
CRITICAL REVIEWS IN MICROBIOLOGY	6.281
JOURNAL OF INFECTIOUS DISEASES	6.273
Annual Review of Environment and Resources	6.268
Annual Review of Environment and Resources	6.268
Advances in Cancer Research	6.267
REMOTE SENSING OF ENVIRONMENT	6.265
JOURNAL OF MEDICINAL CHEMISTRY	6.259
EDUCATIONAL PSYCHOLOGIST	6.257
ACTA NUMERICA	6.250
BRITISH JOURNAL OF ANAESTHESIA	6.238
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	6.226
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	6.226
CHEMICAL ENGINEERING JOURNAL	6.216
SEMINARS IN ONCOLOGY	6.212
Molecular Cancer	6.204
MOLECULAR BIOLOGY AND EVOLUTION	6.202
GLIA	6.200
ENVIRONMENTAL SCIENCE & TECHNOLOGY	6.198
Alzheimers Research & Therapy	6.196
MOLECULAR NEUROBIOLOGY	6.190
INTERNATIONAL JOURNAL OF CARDIOLOGY	6.189
BMJ Quality & Safety	6.186
BMJ Quality & Safety	6.186
ACS Macro Letters	6.185
BRITISH JOURNAL OF CANCER	6.176
PLANT CELL AND ENVIRONMENT	6.173
AMERICAN JOURNAL OF TRANSPLANTATION	6.165
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING	6.143
NEUROSIGNALS	6.143
CURRENT OPINION IN COLLOID & INTERFACE SCIENCE	6.136
CURRENT OPINION IN NEUROBIOLOGY	6.133
Blood Cancer Journal	6.126
Cochrane Database of Systematic Reviews	6.124
IEEE Transactions on Neural Networks and Learning Systems	6.108
PLoS Genetics	6.100
MOLECULAR ECOLOGY	6.086
DIABETOLOGIA	6.080
Brain Stimulation	6.078
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION	6.077
SEPARATION AND PURIFICATION REVIEWS	6.077
PHYSIOLOGY	6.076
JOURNAL OF HAZARDOUS MATERIALS	6.065
JOURNAL OF HIGH ENERGY PHYSICS	6.063
HEART	6.059
Environmental Science-Nano	6.047
GLOBAL ECOLOGY AND BIOGEOGRAPHY	6.045
LAB ON A CHIP	6.045
CHEST	6.044
JOURNAL OF FINANCE	6.043
JOURNAL OF MEMBRANE SCIENCE	6.035
STROKE	6.032
EUROPEAN JOURNAL OF CANCER	6.029
CANCER	5.997
European Heart Journal-Cardiovascular Imaging	5.990
JOURNAL OF NEUROSCIENCE	5.988
Journal of Molecular Cell Biology	5.988
EPIDEMIOLOGY	5.986
EPIDEMIOLOGY	5.986
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY	5.974
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY	5.971
Cell Death & Disease	5.965
BRAIN BEHAVIOR AND IMMUNITY	5.964
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES	5.957
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES	5.957
ACS Sustainable Chemistry & Engineering	5.951
ARCHIVES OF TOXICOLOGY	5.901
PLANT JOURNAL	5.901
BRITISH JOURNAL OF SURGERY	5.899
Cellular & Molecular Immunology	5.897
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE	5.888
CARDIOVASCULAR RESEARCH	5.878
JOURNAL OF INTERNATIONAL BUSINESS STUDIES	5.869
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	5.846
Advances in Agronomy	5.843
DEVELOPMENT	5.843
MACROMOLECULES	5.835
NEUROIMAGE	5.835
JOURNAL OF EXPERIMENTAL BOTANY	5.830
CURRENT OPINION IN GENETICS & DEVELOPMENT	5.825
JAMA Dermatology	5.817
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS	5.815
JOURNAL OF ECOLOGY	5.813
Journal of Crohns & Colitis	5.813
Journal of Clinical Lipidology	5.812
IUCrJ	5.793
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY	5.790
ADDICTION	5.789
ADDICTION	5.789
Journal of Supply Chain Management	5.789
CELLULAR AND MOLECULAR LIFE SCIENCES	5.788
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING	5.786
METABOLISM-CLINICAL AND EXPERIMENTAL	5.777
PROGRESS IN HUMAN GEOGRAPHY	5.776
Journal of the American Medical Directors Association	5.775
JOURNAL OF BUSINESS VENTURING	5.774
Catalysis Science & Technology	5.773
MOLECULAR CANCER THERAPEUTICS	5.764
WILDLIFE MONOGRAPHS	5.750
TRANSFUSION MEDICINE REVIEWS	5.745
MODERN PATHOLOGY	5.728
JOURNAL OF ECONOMIC PERSPECTIVES	5.727
Acta Crystallographica A-Foundation and Advances	5.725
Nanomedicine-Nanotechnology Biology and Medicine	5.720
JOURNAL OF CLEANER PRODUCTION	5.715
Social Issues and Policy Review	5.714
Methods in Ecology and Evolution	5.708
PEDIATRICS	5.705
INTERNATIONAL JOURNAL OF PLASTICITY	5.702
MOLECULAR ASPECTS OF MEDICINE	5.686
IEEE TRANSACTIONS ON POWER SYSTEMS	5.680
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY	5.680
AMERICAN JOURNAL OF SPORTS MEDICINE	5.673
Evolutionary Applications	5.671
BRITISH JOURNAL OF HAEMATOLOGY	5.670
Information Fusion	5.667
PSYCHOLOGICAL SCIENCE	5.667
ANESTHESIOLOGY	5.660
Expert Opinion on Drug Delivery	5.657
BIORESOURCE TECHNOLOGY	5.651
Advances in Experimental Social Psychology	5.650
ADVANCED SYNTHESIS & CATALYSIS	5.646
FUNCTIONAL ECOLOGY	5.630
THROMBOSIS AND HAEMOSTASIS	5.627
Epilepsy Currents	5.625
JAMA Ophthalmology	5.625
FREE RADICAL BIOLOGY AND MEDICINE	5.606
Artificial Cells Nanomedicine and Biotechnology	5.605
Emerging Microbes & Infections	5.605
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE	5.601
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS	5.600
STEM CELLS	5.599
Kidney International Supplements	5.593
ENERGY CONVERSION AND MANAGEMENT	5.589
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS	5.578
Journal of Stroke	5.576
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY	5.574
Annual Review of Chemical and Biomolecular Engineering	5.571
Journal of Environmental Informatics	5.562
AMERICAN JOURNAL OF MEDICINE	5.550
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS	5.547
ASTROPHYSICAL JOURNAL	5.533
DESALINATION	5.527
